,job_id,minsep,Deff_membrane,Deff_slot,phi_membrane,phi_slot
0,0001,1000.0,0.0018634142431733646,0.007453656972693458,0.24421954601433685,0.9768781840573474
1,0002,1000.0,0.0019074677850537294,0.00747878458298294,0.24927005106484182,0.9773360611519751
2,0003,1000.0,0.0019515887283789962,0.007503195499398857,0.25432055611534715,0.9777761566289522
3,0004,1000.0,0.001992478687524792,0.007514491050093502,0.2593710611658521,0.9781994865797559
4,0005,1000.0,0.00203362847290273,0.007526325937097953,0.26442156621635693,0.9786069911264791
5,0006,1000.0,0.002080874500802549,0.007559874333190909,0.2694720712668623,0.9789995413914944
6,0007,1000.0,0.002119247092540466,0.007560557195009231,0.2745225763173676,0.9793779457136299
7,0008,1000.0,0.0021642874427702844,0.007584582542805599,0.27957308136787234,0.9797429552042374
8,0009,1000.0,0.0022054749718534074,0.007594505120469125,0.28462358641837715,0.9800952687234925
9,0010,1000.0,0.0022482791824032576,0.007609560309672562,0.28967409146888234,0.9804352608132348
10,0011,1000.0,0.002286901835164667,0.00761019434222864,0.2947245965193873,0.9807640964012112
11,0012,1000.0,0.002327852452815924,0.0076184262092157526,0.2997751015698926,0.9810820614030976
12,0013,1000.0,0.0023688689365935493,0.007626602430008498,0.3048256066203976,0.9813896860908152
13,0014,1000.0,0.0024101582708057575,0.0076353814019126404,0.3098761116709027,0.9816874667989216
14,0015,1000.0,0.002453322877878652,0.007649731178267293,0.3149266167214075,0.9819758685968347
15,0016,1000.0,0.0024940976609752197,0.007656299796482072,0.3199771217719127,0.9822553277124916
16,0017,1000.0,0.002536992106289526,0.007669075374737802,0.32502762682241765,0.9825262537339781
17,0018,1000.0,0.0025757056996431856,0.007669018474125576,0.33007813187292323,0.9827890316125312
18,0019,1000.0,0.0026153640675651547,0.007671734598191123,0.3351286369234279,0.983044023487478
19,0020,1000.0,0.0026577136901907447,0.007682150520551347,0.34017914197393334,0.9832915703513536
20,0021,1000.0,0.0026977969971389406,0.0076858101501224504,0.345229647024438,0.9835319935712331
21,0022,1000.0,0.0027415950072652226,0.0076997987438087116,0.35028015207494295,0.9837655962806227
22,0023,1000.0,0.0027801431744430695,0.007698858021534651,0.355330657125448,0.9839926646545225
23,0024,1000.0,0.002824052294945481,0.0077125841986097265,0.36038116217595295,0.9842134690789826
24,0025,1000.0,0.002861865123023857,0.007709514208962225,0.36543166722645826,0.9844282652251798
25,0026,1000.0,0.002905513912123588,0.007722036974502958,0.3704821722769636,0.9846370769629822
26,0027,1000.0,0.002946909028253507,0.007728317716479395,0.37553267732746815,0.9848405724099958
27,0028,1000.0,0.0029876812682049286,0.007732822105942169,0.3805831823779736,0.9850387477203435
28,0029,1000.0,0.0030266870972790686,0.007732697358209747,0.38563368742847814,0.9852318088345758
29,0030,1000.0,0.0030675394578608297,0.007737233282247699,0.39068419247898317,0.9854199511994759
30,0031,1000.0,0.0031075454067579222,0.007739547050793315,0.3957346975294885,0.9856033604280331
31,0032,1000.0,0.003150416898295092,0.007748851501396625,0.4007852025799934,0.9857822129102394
32,0033,1000.0,0.0031897133937996407,0.007749242355488696,0.4058357076304984,0.9859566763789204
33,0034,1000.0,0.003232934981839195,0.007759043956414068,0.4108862126810035,0.9861269104344085
34,0035,1000.0,0.0032704784351072847,0.007755146468877155,0.4159367177315086,0.9862930670315182
35,0036,1000.0,0.003311089808433926,0.007758529965324463,0.4209872227820138,0.9864552909319445
36,0037,1000.0,0.0033536366723460795,0.007766316504380394,0.42603772783251875,0.9866137201249109
37,0038,1000.0,0.0033916351163339993,0.00776351159577031,0.4310882328830239,0.9867684862186437
38,0039,1000.0,0.003430641286965608,0.0077630511407907506,0.43613873793352914,0.9869197148049983
39,0040,1000.0,0.0034716175352183963,0.007767008722861496,0.44118924298403406,0.9870675257993662
40,0041,1000.0,0.0035136051498379545,0.007773115303552123,0.4462397480345388,0.9872120337577981
41,0042,1000.0,0.0035576203301751707,0.007783522932316949,0.45129025308504384,0.987353348173099
42,0043,1000.0,0.003594376274305368,0.0077779945607919475,0.456340758135549,0.9874913956792704
43,0044,1000.0,0.0036384417815288157,0.0077882321377589795,0.46139126318605417,0.9876266345001686
44,0045,1000.0,0.0036750044120500455,0.007782362284341269,0.46644176823655925,0.9877589805151265
45,0046,1000.0,0.0037190953114828776,0.0077923901764403135,0.47149227328706445,0.9878885255591577
46,0047,1000.0,0.003758363300813558,0.0077922087283883185,0.47654277833756914,0.9880153576207846
47,0048,1000.0,0.0037992451962897693,0.007795342475288854,0.48159328338807467,0.9881395610413458
48,0049,1000.0,0.0038398518133792173,0.007797852913323949,0.48664378843857964,0.9882612167020199
49,0050,1000.0,0.0038783012219045948,0.007795976060275225,0.4916942934890846,0.9883804021994776
50,0051,1000.0,0.003922896070631672,0.007806366050101216,0.4967447985395893,0.9884971920109275
51,0052,1000.0,0.003961556648920044,0.007804857875484268,0.5017953035900944,0.988611657649315
52,0053,1000.0,0.0040025565472753995,0.007807942821286,0.5068458086405999,0.9887238678093443
53,0054,1000.0,0.004042765055305995,0.007809438838542314,0.5118963136911048,0.9888338885049499
54,0055,1000.0,0.004084575414340576,0.007813970357868927,0.5169468187416094,0.9889417831988085
55,0056,1000.0,0.004124256497284091,0.007814380731696173,0.521997323792114,0.9890476129244063
56,0057,1000.0,0.00416489662254392,0.007816583234726976,0.52704782884262,0.989151436401167
57,0058,1000.0,0.00420511962958708,0.00781796888880978,0.5320983338931251,0.9892533101430853
58,0059,1000.0,0.004245402037096395,0.007819438170651965,0.53714883894363,0.9893531367071038
